BRAND,LIFESTAGE,PREMIUM_CUSTOMER,TOTAL_SALES,TOTAL_UNITS,UNIQUE_CUSTOMERS,TRANSACTIONS,BRAND_TOTAL_SALES,SEG_SHARE_OF_BRAND,AVG_SPEND_PER_CUSTOMER
Cobs,NEW FAMILIES,Mainstream,699.1999999999999,184,92,96,70569.79999999999,0.00990792095202197,7.6
Cobs,NEW FAMILIES,Premium,482.59999999999997,127,64,68,70569.79999999999,0.006838619352754295,7.5406249999999995
Cobs,OLDER FAMILIES,Budget,5658.2,1489,687,760,70569.79999999999,0.08017877335630823,8.236098981077147
Cobs,OLDER FAMILIES,Mainstream,3727.7999999999997,981,436,504,70569.79999999999,0.05282429594529105,8.549999999999999
Cobs,OLDER FAMILIES,Premium,2641.0,695,331,359,70569.79999999999,0.03742394055247429,7.978851963746224
Cobs,OLDER SINGLES/COUPLES,Budget,5080.599999999999,1337,659,706,70569.79999999999,0.07199396909159443,7.709559939301972
Cobs,OLDER SINGLES/COUPLES,Mainstream,5118.599999999999,1347,647,699,70569.79999999999,0.07253244305637822,7.911282843894899
Cobs,OLDER SINGLES/COUPLES,Premium,4613.2,1214,588,631,70569.79999999999,0.06537073932475365,7.845578231292516
Cobs,RETIREES,Budget,4343.4,1143,570,602,70569.79999999999,0.061547574174788656,7.619999999999999
Cobs,RETIREES,Mainstream,5654.4,1488,724,776,70569.79999999999,0.08012492595982985,7.809944751381215
Cobs,RETIREES,Premium,3689.7999999999997,971,464,506,70569.79999999999,0.05228582198050725,7.952155172413793
Cobs,YOUNG FAMILIES,Budget,4503.0,1185,546,612,70569.79999999999,0.06380916482688063,8.247252747252746
Cobs,YOUNG FAMILIES,Mainstream,3404.7999999999997,896,416,454,70569.79999999999,0.04824726724462872,8.184615384615384
Cobs,YOUNG FAMILIES,Premium,3233.7999999999997,851,399,438,70569.79999999999,0.04582413440310162,8.104761904761904
